nuclide,atoms
Ag109,1.836229e+21
Am241,1.045717e+22
Am242_m1,3.310883e+18
Am243,1.973705e+21
Ba135,1.459287e+17
Ba137,1.673787e+22
Ba137_m1,5.841158e+14
Ba138,2.183344e+22
Ce140,1.996315e+22
Ce142,1.811792e+22
Cm242,8.650708e+15
Cm243,1.594084e+18
Cm244,8.683786e+19
Cm245,1.460720e+20
Cs133,1.745783e+22
Cs135,6.633085e+21
Cs137,3.823854e+21
Eu151,6.529916e+19
Eu153,1.713652e+21
Gd155,1.209273e+18
Gd157,2.311357e+18
He4,4.201372e+21
Kr80,1.244006e+16
Kr82,3.120121e+19
Kr83,8.928421e+20
Kr84,2.952640e+21
Kr86,4.351120e+21
La139,2.008136e+22
Mo100,2.198761e+22
Mo95,1.552644e+22
Mo97,1.897043e+22
Mo98,1.963298e+22
Nd143,1.028024e+22
Nd144,1.876634e+22
Nd145,9.607061e+21
Nd146,1.195797e+22
Np237,5.572269e+21
Np239,1.727426e+15
Pa231,1.559722e+15
Pa233,1.918842e+14
Pr141,1.741823e+22
Pu238,1.886140e+21
Pu239,3.603383e+22
Pu240,1.864882e+22
Pu241,3.312223e+20
Pu242,6.955761e+21
Rh103,8.593821e+21
Ru101,1.754803e+22
Ru102,1.998521e+22
Ru99,4.075099e+18
Sm149,2.406481e+19
Sm151,8.635345e+19
Sr88,7.970758e+21
Sr90,2.087267e+21
Tc99,1.699910e+22
Th230,1.731204e+17
Th232,6.406150e+16
U233,1.180524e+17
U234,1.505713e+21
U235,2.175021e+22
U236,2.972207e+22
U238,4.753424e+24
Xe126,4.555617e+15
Xe128,1.003963e+20
Xe130,1.908198e+20
Xe131,5.847052e+21
Xe132,2.146300e+22
Xe134,2.646520e+22
Xe136,4.041802e+22
Y89,1.022685e+22
Y90,5.294500e+17
Zr90,1.001457e+22
